   680.3549      6.7579839E-04
   693.3480      6.8589282E-04
   706.5891      6.9106027E-04
   720.0831      6.9113437E-04
   733.8348      6.8613718E-04
   747.8491      6.7633763E-04
   762.1311      6.6186319E-04
   776.6859      6.4286561E-04
   791.5185      6.1982585E-04
   806.6345      5.9291290E-04
   822.0391      5.6136335E-04
   837.7379      5.2600569E-04
   853.7365      4.8788212E-04
   870.0406      4.4798237E-04
   886.6561      4.0712097E-04
   903.5890      3.6483901E-04
   920.8452      3.2258622E-04
   938.4309      2.8186387E-04
   956.3525      2.4391845E-04
   974.6163      2.0980029E-04
   993.2290      1.8052483E-04
   1012.197      1.5716109E-04
   1031.527      1.4074464E-04
   1051.227      1.3257387E-04
   1071.303      1.3300823E-04
   1091.762      1.4216374E-04
   1112.611      1.6008971E-04
   1133.859      1.8654329E-04
   1155.513      2.2101820E-04
   1177.581      2.6276603E-04
   1200.069      3.1082181E-04
   1222.987      3.6361985E-04
   1246.343      4.1991647E-04
   1270.145      4.7976937E-04
   1294.402      5.4249313E-04
   1319.121      6.0742011E-04
   1344.313      6.7231280E-04
   1369.986      7.3426700E-04
   1396.149      7.9182250E-04
   1422.812      8.4233773E-04
   1449.984      8.8568492E-04
   1477.675      9.2412217E-04
   1505.895      9.5724809E-04
   1534.653      9.7616744E-04
   1563.961      9.7365439E-04
   1593.829      9.5340237E-04
   1624.267      9.2244759E-04
   1655.286      8.7872695E-04
   1686.898      8.1840658E-04
   1719.113      7.4563338E-04
   1751.944      6.6409766E-04
   1785.401      5.7498366E-04
   1819.498      4.8768826E-04
   1854.245      3.9922583E-04
   1889.657      3.1565028E-04
   1925.744      2.4146597E-04
   1962.521      1.7610109E-04
   2000.000      1.2631908E-04
