case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000026,64.072,4.0,7,0.0,0.0
fixed-00000026,64.072,4.0,8,0.0,0.0
fixed-00000026,64.072,4.0,9,0.0,0.0
fixed-00000026,64.072,4.0,10,0.0,0.0
fixed-00000026,64.072,4.0,11,0.0,0.0
fixed-00000026,64.072,4.0,12,0.0,0.0
fixed-00000026,64.072,4.0,13,0.0,0.0
fixed-00000026,64.072,4.0,14,0.0,0.0
fixed-00000026,64.072,4.0,15,0.0,0.0
fixed-00000020,61.073,4.0,-15,9.06322459937264e-05,28.864680966632505
fixed-00000020,61.073,4.0,-14,7.125578614788551e-05,27.885699859513366
fixed-00000020,61.073,4.0,-13,0.00010400358879540013,26.87403003813465
fixed-00000020,61.073,4.0,-12,0.00023252494102371892,25.82580921538205
fixed-00000020,61.073,4.0,-11,0.00023152291974987547,24.736369475126722
fixed-00000020,61.073,4.0,-10,0.00028941150966111626,23.59998064646446
fixed-00000020,61.073,4.0,-9,0.00041302405616951306,22.40947801235535
fixed-00000020,61.073,4.0,-8,0.000632587383401249,21.15570346423864
fixed-00000020,61.073,4.0,-7,0.0008955248549168583,19.82663133303464
fixed-00000020,61.073,4.0,-6,0.0005486674663470488,18.405929733391346
fixed-00000020,61.073,4.0,-5,0.0018710457573985278,16.87043566950011
fixed-00000020,61.073,4.0,-4,0.0036615502518235555,15.18533385674489
fixed-00000020,61.073,4.0,-3,0.0005850958416158521,13.29381650433676
fixed-00000020,61.073,4.0,-2,0.011189747320573915,11.090725979084482
fixed-00000020,61.073,4.0,-1,0.04965854760932982,8.332426742500942
fixed-00000020,61.073,4.0,0,0.759095141709648,4.000000000000128
fixed-00000020,61.073,4.0,1,0.0,0.0
fixed-00000020,61.073,4.0,2,0.0,0.0
fixed-00000020,61.073,4.0,3,0.0,0.0
fixed-00000020,61.073,4.0,4,0.0,0.0
fixed-00000020,61.073,4.0,5,0.0,0.0
fixed-00000020,61.073,4.0,6,0.0,0.0
fixed-00000020,61.073,4.0,7,0.0,0.0
fixed-00000020,61.073,4.0,8,0.0,0.0
fixed-00000020,61.073,4.0,9,0.0,0.0
fixed-00000020,61.073,4.0,10,0.0,0.0
fixed-00000020,61.073,4.0,11,0.0,0.0
fixed-00000020,61.073,4.0,12,0.0,0.0
fixed-00000020,61.073,4.0,13,0.0,0.0
fixed-00000020,61.073,4.0,14,0.0,0.0
fixed-00000020,61.073,4.0,15,0.0,0.0
fixed-00000024,63.072,4.0,-15,0.00010238208049465499,28.403122630274495
fixed-00000024,63.072,4.0,-14,7.993557539972494e-05,27.441054185694263
fixed-00000024,63.072,4.0,-13,0.00011588198768206562,26.44681379134572
fixed-00000024,63.072,4.0,-12,0.0002566579778963459,25.416606921959087
fixed-00000024,63.072,4.0,-11,0.0002531792308137591,24.34584822861315
fixed-00000024,63.072,4.0,-10,0.000314862425791667,23.228909867403175
fixed-00000024,63.072,4.0,-9,0.00045474363130782976,22.058756510492216
fixed-00000024,63.072,4.0,-8,0.0006800785173754134,20.826397667716577
fixed-00000024,63.072,4.0,-7,0.0009577646937527339,19.520031375106953
fixed-00000024,63.072,4.0,-6,0.0006049014429671644,18.12363572434397
fixed-00000024,63.072,4.0,-5,0.001983676964138484,16.614498733760357
fixed-00000024,63.072,4.0,-4,0.003881158831839763,14.958506296379298
fixed-00000024,63.072,4.0,-3,0.0006473690488198495,13.100049820305784
fixed-00000024,63.072,4.0,-2,0.011783971223460381,10.93635530859919
fixed-00000024,63.072,4.0,-1,0.052536851120225686,8.2300498960917
fixed-00000024,63.072,4.0,0,0.757330236045854,3.999999999999943
fixed-00000024,63.072,4.0,1,0.0,0.0
fixed-00000024,63.072,4.0,2,0.0,0.0
fixed-00000024,63.072,4.0,3,0.0,0.0
fixed-00000024,63.072,4.0,4,0.0,0.0
fixed-00000024,63.072,4.0,5,0.0,0.0
fixed-00000024,63.072,4.0,6,0.0,0.0
fixed-00000024,63.072,4.0,7,0.0,0.0
fixed-00000024,63.072,4.0,8,0.0,0.0
fixed-00000024,63.072,4.0,9,0.0,0.0
fixed-00000024,63.072,4.0,10,0.0,0.0
fixed-00000024,63.072,4.0,11,0.0,0.0
fixed-00000024,63.072,4.0,12,0.0,0.0
fixed-00000024,63.072,4.0,13,0.0,0.0
fixed-00000024,63.072,4.0,14,0.0,0.0
fixed-00000024,63.072,4.0,15,0.0,0.0
fixed-00000028,65.072,4.0,-15,0.00011184071667641597,27.963364061772104
fixed-00000028,65.072,4.0,-14,8.707618151171518e-05,27.017389220851676
fixed-00000028,65.072,4.0,-13,0.00012554469360668625,26.03973798360638
fixed-00000028,65.072,4.0,-12,0.0002761626216917523,25.026680580185854
fixed-00000028,65.072,4.0,-11,0.00027031597591894774,23.97371057331192
fixed-00000028,65.072,4.0,-10,0.0003346219577414311,22.87529792492117
fixed-00000028,65.072,4.0,-9,0.0004896327071190798,21.724530990944658
fixed-00000028,65.072,4.0,-8,0.0007169066609655358,20.512579523059557
fixed-00000028,65.072,4.0,-7,0.0010045315720298242,19.227855436806806
fixed-00000028,65.072,4.0,-6,0.0006542358314856321,17.854633211680778
fixed-00000028,65.072,4.0,-5,0.002070087051492962,16.37063214059117
fixed-00000028,65.072,4.0,-4,0.004050716694211048,14.74240863546298
fixed-00000028,65.072,4.0,-3,0.0007050549196257999,12.915500817546842
fixed-00000028,65.072,4.0,-2,0.01226464152999145,10.789413278053004
fixed-00000028,65.072,4.0,-1,0.05501651468450237,8.132751569624105
fixed-00000028,65.072,4.0,0,0.7513691530191026,3.999999999999943
fixed-00000028,65.072,4.0,1,0.0,0.0
fixed-00000028,65.072,4.0,2,0.0,0.0
fixed-00000028,65.072,4.0,3,0.0,0.0
fixed-00000028,65.072,4.0,4,0.0,0.0
fixed-00000028,65.072,4.0,5,0.0,0.0
fixed-00000028,65.072,4.0,6,0.0,0.0
fixed-00000028,65.072,4.0,7,0.0,0.0
fixed-00000028,65.072,4.0,8,0.0,0.0
fixed-00000028,65.072,4.0,9,0.0,0.0
fixed-00000028,65.072,4.0,10,0.0,0.0
fixed-00000028,65.072,4.0,11,0.0,0.0
fixed-00000028,65.072,4.0,12,0.0,0.0
fixed-00000028,65.072,4.0,13,0.0,0.0
fixed-00000028,65.072,4.0,14,0.0,0.0
fixed-00000028,65.072,4.0,15,0.0,0.0
fixed-00000019,60.573,4.0,-15,8.743375924959223e-05,28.983786985196303
fixed-00000019,60.573,4.0,-14,6.888080197736375e-05,28.000437867321665
fixed-00000019,60.573,4.0,-13,0.00010073903557779434,26.98426724458615
fixed-00000019,60.573,4.0,-12,0.00022584921083784187,25.931395376983943
fixed-00000019,60.573,4.0,-11,0.00022543801613665555,24.83713308357052
fixed-00000019,60.573,4.0,-10,0.000282205318441491,23.695723841218552
fixed-00000019,60.573,4.0,-9,0.00040164313755071087,22.499969613364627
fixed-00000019,60.573,4.0,-8,0.0006190720816436857,21.240669129944692
fixed-00000019,60.573,4.0,-7,0.0008775557899699776,19.905739121512482
fixed-00000019,60.573,4.0,-6,0.0005336836287012372,18.47876789330482
fixed-00000019,60.573,4.0,-5,0.0018387412728755844,16.936476333373264
fixed-00000019,60.573,4.0,-4,0.003598740580297281,15.243868640912723
fixed-00000019,60.573,4.0,-3,0.0005689593774408847,13.343828288734429
fixed-00000019,60.573,4.0,-2,0.011023145356716413,11.130583858481614
fixed-00000019,60.573,4.0,-1,0.04887670048768242,8.35888582989216
fixed-00000019,60.573,4.0,0,0.7588138305182447,4.000000000000043
fixed-00000019,60.573,4.0,1,0.0,0.0
fixed-00000019,60.573,4.0,2,0.0,0.0
fixed-00000019,60.573,4.0,3,0.0,0.0
fixed-00000019,60.573,4.0,4,0.0,0.0
fixed-00000019,60.573,4.0,5,0.0,0.0
fixed-00000019,60.573,4.0,6,0.0,0.0
fixed-00000019,60.573,4.0,7,0.0,0.0
fixed-00000019,60.573,4.0,8,0.0,0.0
fixed-00000019,60.573,4.0,9,0.0,0.0
fixed-00000019,60.573,4.0,10,0.0,0.0
fixed-00000019,60.573,4.0,11,0.0,0.0
fixed-00000019,60.573,4.0,12,0.0,0.0
fixed-00000019,60.573,4.0,13,0.0,0.0
