Energy	Efficiency(GR)	alpha(norm)
2120	0.469823523	87.58838372
2125	0.4709004544	87.59703492
2130	0.4719339415	87.60563689
2135	0.4729641822	87.61420081
2140	0.4740000311	87.6227264
2145	0.4750416217	87.63121463
2150	0.4760801367	87.6396642
2155	0.4771961429	87.64207553
2160	0.4783388296	87.65044751
2165	0.4794526506	87.65877536
2170	0.480558873	87.66706617
2175	0.4816708504	87.67532109
2180	0.4827933724	87.68353993
2185	0.4839108417	87.69172129
2190	0.4850245093	87.6998647
2195	0.4861318671	87.70797069
2200	0.4872003342	87.71603444
2205	0.4882660145	87.72406294
2210	0.4893360193	87.73205649
2215	0.4904085309	87.74001677
2220	0.491476345	87.74794193
2225	0.4925348504	87.75583168
2230	0.4935779793	87.76368534
2235	0.4945870022	87.77149898
2240	0.4955790391	87.7792773
2245	0.496566732	87.78702265
2250	0.4975607812	87.79473581
2255	0.4985615784	87.8024162
2260	0.4995636891	87.81006199
2265	0.5005728916	87.81767422
2270	0.5015705621	87.82524859
2275	0.5025689779	87.83278897
2280	0.5035756522	87.84029769
2285	0.5045942274	87.84777554
2290	0.5056210005	87.85522244
2295	0.5066418342	87.86263791
2300	0.5076540135	87.87002291
2305	0.5086311937	87.87737174
2310	0.5095793335	87.88468648
2315	0.5105118711	87.89196898
2320	0.5114369117	87.8992212
2325	0.5123612256	87.90644448
2330	0.5132828082	87.91363799
2335	0.514216634	87.91479941
2340	0.5152565308	87.92192932
2345	0.5162678658	87.92902512
2350	0.5172664353	87.93609068
2355	0.5182584414	87.94312723
2360	0.5192484859	87.95013566
2365	0.5202352776	87.95711647
2370	0.5212146572	87.96406909
2375	0.5221889888	87.97099296
2380	0.5231348083	87.97788385
2385	0.5240618066	87.984744
2390	0.5249795626	87.99157577
2395	0.5258946792	87.99838036
2400	0.5268112233	88.0051585
2405	0.5277272182	88.01191038
2410	0.5286413997	88.01863449
2415	0.5295488161	88.02533022
2420	0.5304361804	88.03199497
2425	0.5313131802	88.03863087
2430	0.5321797863	88.04523854
2435	0.5330357926	88.05181978
2440	0.5338710485	88.05837585
2445	0.5346613293	88.06490675
2450	0.5353688844	88.07141085
2455	0.535969301	88.0778889
2460	0.5364067617	88.0843352
2465	0.5367055238	88.09075647
2470	0.5368629634	88.09715318
2475	0.5368931948	88.10352609
2480	0.5368329003	88.10987502
2485	0.5367276035	88.11619894
2490	0.5366369426	88.1224968
2495	0.53662741	88.12876709
2500	0.5368939195	88.12900927
2505	0.5374629267	88.13522597
2510	0.5382654061	88.14141841
2515	0.5393096307	88.1475871
2520	0.5405807902	88.15373297
2525	0.5420371208	88.15985576
2530	0.5436122376	88.16595478
2535	0.5452251796	88.17202855
2540	0.5468020276	88.1780756
2545	0.5482981089	88.1840989
2550	0.5496806877	88.19009858
2555	0.55093766	88.19607559
2560	0.5520799292	88.20203072
2565	0.5531259272	88.20796424
2570	0.554096266	88.21387492
2575	0.5550125677	88.21976128
2580	0.5558946033	88.22562256
2585	0.5567713173	88.23145984
2590	0.5576659045	88.23727569
2595	0.5585763667	88.24307074
2600	0.559499747	88.24884518
2605	0.5604267256	88.2545986
2610	0.5613388769	88.2603311
2615	0.5622121145	88.26603856
2620	0.5630357253	88.27172214
2625	0.5638078943	88.2773821
2630	0.5645601769	88.28302137
2635	0.5652897978	88.28864047
2640	0.5660109749	88.29423969
2645	0.566732091	88.29981908
2650	0.5674591786	88.3053788
2655	0.5681853515	88.31091798
2660	0.568901852	88.31643406
2665	0.5696063454	88.32192645
2670	0.5703005554	88.32739804
2675	0.5709843717	88.33285002
2680	0.5716402307	88.33828166
2685	0.5724030395	88.33769376
2690	0.5731830874	88.34308708
2695	0.5739441969	88.34846128
2700	0.5746858213	88.35381554
2705	0.5753982731	88.35914705
2710	0.5760927428	88.36445605
2715	0.5767989178	88.36974645
2720	0.5775138728	88.37501908
2725	0.5782315771	88.3802734
2730	0.5789444531	88.38550935
2735	0.5796145182	88.39072773
2740	0.5801877597	88.39592694
2745	0.5805914811	88.40110492
2750	0.5807435423	88.40626076
2755	0.5805684839	88.41139594
2760	0.5800210702	88.41651374
2765	0.5790577346	88.42161555
2770	0.5776713793	88.4267006
2775	0.5758920957	88.43176844
2780	0.5737901852	88.43681911
2785	0.5714773263	88.44185294
2790	0.569088821	88.44686538
2795	0.5668060149	88.45185543
2800	0.5648558894	88.4568277
2805	0.5637449637	88.4557834
2810	0.5633857275	88.46072249
2815	0.5637358203	88.46564493
2820	0.5648132123	88.47055059
2825	0.5665758488	88.4754404
2830	0.5689332618	88.48031415
2835	0.5717459866	88.48517072
2840	0.5748277599	88.49000714
2845	0.5780069304	88.49482615
2850	0.5811195047	88.49962887
2855	0.5840159803	88.50441487
2860	0.5865985351	88.50918398
2865	0.5888363919	88.51393696
2870	0.5907280065	88.51867491
2875	0.5923136541	88.52339679
2880	0.5936442915	88.52810133
2885	0.5947735946	88.53278686
2890	0.595770454	88.53745355
2895	0.596703772	88.54210509
2900	0.5976118484	88.54674171
2905	0.5985162839	88.5513635
2910	0.5994267317	88.55596983
2915	0.6003335995	88.56056185
2920	0.6012226948	88.56513898
2925	0.6020756414	88.56970052
2930	0.6028578651	88.57424274
2935	0.6035736216	88.57876768
2940	0.6042389868	88.58327732
2945	0.6048720605	88.58777267
2950	0.6054868068	88.59225344
2955	0.6061007953	88.5967203
2960	0.606730566	88.60117302
2965	0.6073854415	88.6056114
2970	0.6080620445	88.61003581
2975	0.6087363108	88.61444437
2980	0.609394243	88.61883702
2985	0.6100176884	88.62321306
2990	0.6105991696	88.62757586
2995	0.6112770097	88.62592418
3000	0.6120258615	88.63025768
3005	0.6127076752	88.6345771
3010	0.6133301407	88.63888279
3015	0.6139004025	88.64317508
3020	0.614432074	88.64745458
3025	0.614929905	88.65171652
3030	0.6154257457	88.65596328
3035	0.6159404787	88.66019537
3040	0.6164929959	88.66441493
3045	0.6170857069	88.6686203
3050	0.6177118742	88.67281143
3055	0.6183552185	88.67698888
3060	0.6189967357	88.68115368
3065	0.6196094231	88.68530583
3070	0.6201653148	88.68944512
3075	0.6206216385	88.69356839
3080	0.6209798249	88.69767719
3085	0.6212532166	88.70177274
3090	0.6214614731	88.70585596
3095	0.6216311565	88.70992675
3100	0.621792937	88.71398478
